source,policy,true_class,decision,error,tau,Nweak,Nstrong,unlocked,cap_hit
mock fallback — NOT REPORTABLE,gated,4,4,0,121,93,28,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,34,33,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,54,21,33,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,107,102,5,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,129,116,13,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,78,74,4,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,72,48,24,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,41,32,9,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,29,25,4,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,71,18,53,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,88,87,1,1,0
mock fallback — NOT REPORTABLE,gated,4,4,0,61,42,19,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,130,114,16,1,0
mock fallback — NOT REPORTABLE,gated,4,5,1,50,42,8,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,88,87,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,47,32,15,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,58,56,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,95,94,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,64,63,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,67,63,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,58,57,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,36,33,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,124,123,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,31,25,6,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,48,26,22,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,37,17,20,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,55,51,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,82,56,26,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,41,33,8,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,102,100,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,45,22,23,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,64,63,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,38,35,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,29,28,1,1,0
mock fallback — NOT REPORTABLE,gated,5,2,1,29,27,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,72,70,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,68,46,22,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,103,102,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,56,54,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,58,56,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,49,41,8,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,28,17,11,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,72,29,43,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,46,43,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,54,47,7,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,73,72,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,71,59,12,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,57,56,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,45,44,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,47,43,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,42,33,9,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,74,72,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,80,79,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,59,53,6,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,38,35,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,40,30,10,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,28,10,18,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,60,57,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,99,95,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,38,14,24,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,44,37,7,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,36,35,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,31,24,7,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,34,31,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,25,22,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,76,48,28,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,34,33,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,37,35,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,43,11,32,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,48,47,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,77,76,1,1,0
mock fallback — NOT REPORTABLE,gated,5,6,1,49,10,39,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,102,100,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,50,46,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,72,62,10,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,49,21,28,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,21,17,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,31,25,6,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,110,106,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,48,46,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,39,36,3,1,0
mock fallback — NOT REPORTABLE,gated,5,6,1,44,28,16,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,28,18,10,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,40,37,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,57,55,2,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,25,22,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,61,48,13,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,18,15,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,31,25,6,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,29,23,6,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,21,11,10,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,53,32,21,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,27,18,9,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,41,5,36,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,31,28,3,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,96,71,25,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,33,23,10,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,71,60,11,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,33,25,8,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,67,47,20,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,42,10,32,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,57,56,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,52,47,5,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,37,33,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,97,89,8,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,42,22,20,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,73,47,26,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,63,59,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,113,112,1,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,36,33,3,1,0
mock fallback — NOT REPORTABLE,gated,5,6,1,69,38,31,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,64,32,32,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,90,86,4,1,0
mock fallback — NOT REPORTABLE,gated,5,5,0,55,34,21,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,181,87,94,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,55,25,30,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,108,45,63,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,64,62,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,57,43,14,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,20,5,15,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,144,133,11,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,64,56,8,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,58,56,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,66,38,28,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,54,36,18,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,56,35,21,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,141,137,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,20,19,1,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,88,81,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,82,51,31,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,178,176,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,44,32,12,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,108,91,17,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,84,45,39,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,27,9,18,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,72,60,12,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,63,40,23,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,47,43,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,45,30,15,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,242,205,37,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,80,34,46,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,26,16,10,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,39,34,5,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,34,26,8,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,33,16,17,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,66,41,25,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,267,260,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,162,88,74,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,28,23,5,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,45,41,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,28,16,12,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,58,40,18,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,127,94,33,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,74,66,8,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,24,17,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,20,8,12,1,0
mock fallback — NOT REPORTABLE,gated,6,4,1,74,71,3,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,38,31,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,75,56,19,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,124,104,20,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,18,13,5,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,168,139,29,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,117,108,9,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,44,37,7,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,45,39,6,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,41,28,13,1,0
mock fallback — NOT REPORTABLE,gated,6,4,1,71,65,6,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,76,72,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,87,74,13,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,43,41,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,43,29,14,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,96,66,30,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,86,76,10,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,99,49,50,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,185,139,46,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,44,38,6,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,115,106,9,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,219,212,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,62,54,8,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,54,43,11,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,72,48,24,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,58,47,11,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,29,9,20,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,23,19,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,51,19,32,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,122,118,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,165,112,53,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,39,33,6,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,32,26,6,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,32,20,12,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,38,31,7,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,66,65,1,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,130,82,48,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,36,24,12,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,25,21,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,67,30,37,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,87,65,22,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,47,28,19,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,155,126,29,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,46,38,8,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,131,124,7,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,81,40,41,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,31,21,10,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,42,28,14,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,69,53,16,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,14,10,4,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,71,54,17,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,81,68,13,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,21,19,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,112,94,18,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,82,72,10,1,0
mock fallback — NOT REPORTABLE,gated,6,5,1,139,137,2,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,51,36,15,1,0
mock fallback — NOT REPORTABLE,gated,6,6,0,28,13,15,1,0
mock fallback — NOT REPORTABLE,oracle,1,2,1,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,12,0,12,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,11,0,11,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,22,0,22,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,48,0,48,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,37,0,37,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,56,0,56,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,17,0,17,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,20,0,20,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,5,0,5,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,29,0,29,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,68,0,68,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,29,0,29,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,34,0,34,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,48,0,48,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,32,0,32,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,36,0,36,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,29,0,29,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,20,0,20,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,50,0,50,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,14,0,14,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,47,0,47,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,44,0,44,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,85,0,85,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,28,0,28,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,12,0,12,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,32,0,32,1,0
mock fallback — NOT REPORTABLE,oracle,1,2,1,11,0,11,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,34,0,34,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,30,0,30,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,34,0,34,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,28,0,28,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,29,0,29,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,17,0,17,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,48,0,48,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,30,0,30,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,83,0,83,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,97,0,97,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,24,0,24,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,11,0,11,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,44,0,44,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,10,0,10,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,14,0,14,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,7,0,7,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,9,0,9,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,10,0,10,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,10,0,10,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,54,0,54,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,44,0,44,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,56,0,56,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,24,0,24,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,34,0,34,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,4,0,4,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,14,0,14,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,36,0,36,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,8,0,8,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,1,2,1,9,0,9,1,0
mock fallback — NOT REPORTABLE,oracle,1,2,1,39,0,39,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,52,0,52,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,36,0,36,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,64,0,64,1,0
mock fallback — NOT REPORTABLE,oracle,1,1,0,14,0,14,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,11,0,11,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,58,0,58,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,22,0,22,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,17,0,17,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,28,0,28,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,51,0,51,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,36,0,36,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,24,0,24,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,22,0,22,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,42,0,42,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,10,0,10,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,20,0,20,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,27,0,27,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,8,0,8,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,20,0,20,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,30,0,30,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,14,0,14,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,11,0,11,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,16,0,16,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,13,0,13,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,53,0,53,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,19,0,19,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,24,0,24,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,31,0,31,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,29,0,29,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,17,0,17,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,25,0,25,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,33,0,33,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,18,0,18,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,26,0,26,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,22,0,22,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,32,0,32,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,23,0,23,1,0
mock fallback — NOT REPORTABLE,oracle,2,2,0,15,0,15,1,0
